conv_clarity_score,conv_actionability_score,conv_alignment_score,collab_clarity_score,collab_actionability_score,collab_alignment_score,collab_feasibility_score,collab_novelty_score,collab_factual_grounding,CQS_collab_eq4,CQS_conv_eq4,CQS_extended,model,model_label,condition,pair_id,pair_domain,pair_label,run_idx,strategy,api_success,avg_expert_score,growth_potential,pair_growth_pct,collab_goal,phase1_gap,evaluator_type,expert1_name,expert1_company,expert1_type,expert2_name,expert2_company,expert2_type
7.1,6.5,9.145,9.137,8.281,9.45,9.495,5.095,3.0,8.8572,7.269,9.0144,qwen,Qwen2.5-1.5B,Full Pipeline,G06F16-H04W12,Data/Comm-Centric,User Profile-Based Intelligent Traffic Services,0,Consensus-Driven,True,22.35,9.1,1276.39,,Gap in integrating database technologies to enhance security measures in wireless networks,non-LLM: NLI+CE+ST+QNLI,SHIMOTANI MITSUO,MITSUBISHI ELECTRIC CORP,large_corp,AKBAR ZEHRA,SKYGRID LLC,sme
7.1,6.5,8.623,9.349,8.685,8.837,8.76,4.533,3.0,8.981,7.1646,8.9296,qwen,Qwen2.5-1.5B,Full Pipeline,G06F16-H04W12,Data/Comm-Centric,User Profile-Based Intelligent Traffic Services,1,Exploratory-Brainstorming,True,17.9,9.1,1276.39,,Lack of comprehensive analysis on integrating AI and physiological data in vehicular applications,non-LLM: NLI+CE+ST+QNLI,Nordbruch Stefan,Bosch GmbH,large_corp,AIZAWA TOMOYOSHI,OMRON CORP,large_corp
7.1,6.5,8.916,8.584,8.501,9.612,8.863,4.956,3.0,8.7564,7.2232,8.8205,qwen,Qwen2.5-1.5B,Full Pipeline,B60R21-B60R23,Vehicle-Centric,Advanced Visual Safety and Parking Assistance Systems,0,Consensus-Driven,True,22.35,9.0,1275.13,,Research on integrating AI in occupant safety systems,non-LLM: NLI+CE+ST+QNLI,SHIMOTANI MITSUO,MITSUBISHI ELECTRIC CORP,large_corp,AKBAR ZEHRA,SKYGRID LLC,sme
7.1,6.5,8.798,8.802,8.645,9.413,8.749,4.877,3.0,8.8614,7.1996,8.8665,qwen,Qwen2.5-1.5B,Full Pipeline,B60R21-B60R23,Vehicle-Centric,Advanced Visual Safety and Parking Assistance Systems,1,Exploratory-Brainstorming,True,17.9,9.0,1275.13,,"Current research focuses on sensor integration and machine learning for driver state estimation, but",non-LLM: NLI+CE+ST+QNLI,Nordbruch Stefan,Bosch GmbH,large_corp,AIZAWA TOMOYOSHI,OMRON CORP,large_corp
5.0,5.0,9.119,9.017,8.559,9.387,8.325,5.045,3.0,8.9078,5.8238,8.8152,qwen,Qwen2.5-1.5B,Full Pipeline,G08G5-H04L20,Cross-Industry,Broadcast-Based Air Traffic Control and UAV Systems,0,Consensus-Driven,True,22.35,8.8,1235.06,,There is a specific academic gap in developing an integrated notification and data management system,non-LLM: NLI+CE+ST+QNLI,SHIMOTANI MITSUO,MITSUBISHI ELECTRIC CORP,large_corp,AKBAR ZEHRA,SKYGRID LLC,sme
7.1,5.0,8.453,8.722,8.413,9.181,8.576,5.323,3.0,8.6902,6.5306,8.6919,qwen,Qwen2.5-1.5B,Full Pipeline,G08G5-H04L20,Cross-Industry,Broadcast-Based Air Traffic Control and UAV Systems,1,Exploratory-Brainstorming,True,17.9,8.8,1235.06,,Specific academic gap related to the application of physiological sensor data for driver state estim,non-LLM: NLI+CE+ST+QNLI,Nordbruch Stefan,Bosch GmbH,large_corp,AIZAWA TOMOYOSHI,OMRON CORP,large_corp
7.1,6.5,8.77,9.324,8.395,9.589,8.352,5.349,3.0,9.0054,7.194,8.9039,qwen,Qwen2.5-1.5B,Full Pipeline,B60R23-G01S7,V2X,Sensor Fusion for Robust Obstacle Detection,0,Consensus-Driven,True,22.35,8.9,1244.99,,Academic literature on consensus-based approaches in transportation systems,non-LLM: NLI+CE+ST+QNLI,SHIMOTANI MITSUO,MITSUBISHI ELECTRIC CORP,large_corp,AKBAR ZEHRA,SKYGRID LLC,sme
5.0,5.0,8.283,9.251,8.258,9.461,8.922,4.898,3.0,8.8958,5.6566,8.9293,qwen,Qwen2.5-1.5B,Full Pipeline,B60R23-G01S7,V2X,Sensor Fusion for Robust Obstacle Detection,1,Exploratory-Brainstorming,True,17.9,8.9,1244.99,,Need for interdisciplinary research on combining AI with physiological sensor technology for real-ti,non-LLM: NLI+CE+ST+QNLI,Nordbruch Stefan,Bosch GmbH,large_corp,AIZAWA TOMOYOSHI,OMRON CORP,large_corp
7.1,6.5,9.176,8.71,8.174,9.386,8.982,4.846,3.0,8.6308,7.2752,8.7388,qwen,Qwen2.5-1.5B,Full Pipeline,B61L25-G06Q50,Cross-Industry,Intelligent Railway Operation,0,Consensus-Driven,True,22.35,8.7,1247.75,,The need for interdisciplinary collaboration between railway experts and tech innovators to bridge g,non-LLM: NLI+CE+ST+QNLI,SHIMOTANI MITSUO,MITSUBISHI ELECTRIC CORP,large_corp,AKBAR ZEHRA,SKYGRID LLC,sme
7.1,6.5,8.772,5.0,8.341,9.002,8.613,10.0,5.25,7.1368,7.1944,7.5253,qwen,Qwen2.5-1.5B,Full Pipeline,B61L25-G06Q50,Cross-Industry,Intelligent Railway Operation,1,Exploratory-Brainstorming,True,17.9,8.7,1247.75,Develop an intelligent railway operation system that optimizes traffic flow and improves passenger safety through AI and IoT technologies.,current research in AI applications in transportation infrastructure,non-LLM: NLI+CE+ST+QNLI,Nordbruch Stefan,Bosch GmbH,large_corp,AIZAWA TOMOYOSHI,OMRON CORP,large_corp
