conv_clarity_score,conv_actionability_score,conv_alignment_score,collab_clarity_score,collab_actionability_score,collab_alignment_score,collab_feasibility_score,collab_novelty_score,collab_factual_grounding,CQS_collab_eq4,CQS_conv_eq4,CQS_extended,model,model_label,condition,pair_id,pair_domain,pair_label,run_idx,strategy,api_success,avg_expert_score,growth_potential,pair_growth_pct,collab_goal,phase1_gap,evaluator_type,expert1_name,expert1_company,expert1_type,expert2_name,expert2_company,expert2_type
5.0,5.0,9.167,5.0,8.281,8.155,8.72,10.0,3.0,6.9434,5.8334,7.3593,phi3,Phi-3-mini-4k,Full Pipeline,G06F16-H04W12,Data/Comm-Centric,User Profile-Based Intelligent Traffic Services,0,Consensus-Driven,True,22.35,9.1,1276.39,Develop an adaptive notification control system using foundation models that significantly improves user experience in ITS and cloud services.,,non-LLM: NLI+CE+ST+QNLI,SHIMOTANI MITSUO,MITSUBISHI ELECTRIC CORP,large_corp,AKBAR ZEHRA,SKYGRID LLC,sme
8.899,7.485,8.407,5.0,8.61,8.512,8.233,10.0,5.25,7.1464,8.235,7.432,phi3,Phi-3-mini-4k,Full Pipeline,G06F16-H04W12,Data/Comm-Centric,User Profile-Based Intelligent Traffic Services,1,Exploratory-Brainstorming,True,17.9,9.1,1276.39,Develop an integrated AI system for optimizing urban traffic flow that reduces congestion by at least 20% within two years.,,non-LLM: NLI+CE+ST+QNLI,Nordbruch Stefan,Bosch GmbH,large_corp,AIZAWA TOMOYOSHI,OMRON CORP,large_corp
5.0,5.0,8.354,5.0,8.164,9.052,8.651,10.0,4.125,7.076,5.6708,7.4898,phi3,Phi-3-mini-4k,Full Pipeline,B60R21-B60R23,Vehicle-Centric,Advanced Visual Safety and Parking Assistance Systems,0,Consensus-Driven,True,22.35,9.0,1275.13,Develop an integrated system combining notification control from Shimotani Mitsuo's ITS with Zehra Akbarturk's UAV navigation to enhance vehicle-cloud user experiences.,The current research lacks comprehensive studies on cross-modal interaction between vehicular system,non-LLM: NLI+CE+ST+QNLI,SHIMOTANI MITSUO,MITSUBISHI ELECTRIC CORP,large_corp,AKBAR ZEHRA,SKYGRID LLC,sme
5.0,5.0,7.972,5.0,8.382,8.269,8.795,10.0,4.125,7.0066,5.5944,7.4274,phi3,Phi-3-mini-4k,Full Pipeline,B60R21-B60R23,Vehicle-Centric,Advanced Visual Safety and Parking Assistance Systems,1,Exploratory-Brainstorming,True,17.9,9.0,1275.13,Develop an integrated AI system to optimize real-time parking in smart cities while ensuring advanced visual safety and driver state awareness,"The interdisciplinary integration of smart city infrastructure, physiological sensor technology, and",non-LLM: NLI+CE+ST+QNLI,Nordbruch Stefan,Bosch GmbH,large_corp,AIZAWA TOMOYOSHI,OMRON CORP,large_corp
5.0,5.0,9.178,5.0,8.597,9.107,8.709,10.0,5.25,7.2602,5.8356,7.6423,phi3,Phi-3-mini-4k,Full Pipeline,G08G5-H04L20,Cross-Industry,Broadcast-Based Air Traffic Control and UAV Systems,0,Consensus-Driven,True,22.35,8.8,1235.06,Develop an integrated broadcast-based air traffic control system utilizing QML algorithms optimized for real-time processing on edge devices,The lack of comprehensive studies focusing on cross-domain integration strategies for optimizing rea,non-LLM: NLI+CE+ST+QNLI,SHIMOTANI MITSUO,MITSUBISHI ELECTRIC CORP,large_corp,AKBAR ZEHRA,SKYGRID LLC,sme
5.0,5.0,8.353,5.0,8.302,8.946,8.563,10.0,5.25,7.11,5.6706,7.4924,phi3,Phi-3-mini-4k,Full Pipeline,G08G5-H04L20,Cross-Industry,Broadcast-Based Air Traffic Control and UAV Systems,1,Exploratory-Brainstorming,True,17.9,8.8,1235.06,Develop an integrated AI system combining real-time parking optimization and driver state monitoring to enhance safety and efficiency in urban traffic management,Lack of research on the direct application of sensor-based driver state data in optimizing vehicular,non-LLM: NLI+CE+ST+QNLI,Nordbruch Stefan,Bosch GmbH,large_corp,AIZAWA TOMOYOSHI,OMRON CORP,large_corp
5.0,5.0,9.05,5.0,8.904,9.271,8.545,10.0,6.375,7.4158,5.81,7.7344,phi3,Phi-3-mini-4k,Full Pipeline,B60R23-G01S7,V2X,Sensor Fusion for Robust Obstacle Detection,0,Consensus-Driven,True,22.35,8.9,1244.99,Develop an advanced multi-sensor fusion algorithm that enhances obstacle detection in autonomous vehicles,There is limited research on the cross-application of advanced driver assistance systems (ADAS) from,non-LLM: NLI+CE+ST+QNLI,SHIMOTANI MITSUO,MITSUBISHI ELECTRIC CORP,large_corp,AKBAR ZEHRA,SKYGRID LLC,sme
8.801,7.058,9.031,5.0,8.772,9.256,8.598,10.0,6.375,7.36,8.1498,7.7024,phi3,Phi-3-mini-4k,Full Pipeline,B60R23-G01S7,V2X,Sensor Fusion for Robust Obstacle Detection,1,Exploratory-Brainstorming,True,17.9,8.9,1244.99,Develop an integrated system for robust obstacle detection utilizing sensor fusion techniques that can be deployed in autonomous vehicles to improve safety and efficiency.,,non-LLM: NLI+CE+ST+QNLI,Nordbruch Stefan,Bosch GmbH,large_corp,AIZAWA TOMOYOSHI,OMRON CORP,large_corp
5.0,5.0,7.577,5.0,8.29,8.173,8.324,10.0,4.125,6.9506,5.5154,7.2864,phi3,Phi-3-mini-4k,Full Pipeline,B61L25-G06Q50,Cross-Industry,Intelligent Railway Operation,0,Consensus-Driven,True,22.35,8.7,1247.75,"Develop an integrated system for intelligent railway operation encompassing advanced notification controls, UAV integration for service management, and next-generation motion planning algorithms.",Understanding how to effectively merge vehicular cloud computing with urban air mobility platforms w,non-LLM: NLI+CE+ST+QNLI,SHIMOTANI MITSUO,MITSUBISHI ELECTRIC CORP,large_corp,AKBAR ZEHRA,SKYGRID LLC,sme
5.0,5.0,8.283,5.0,8.341,8.615,8.613,10.0,5.25,7.0594,5.6566,7.4479,phi3,Phi-3-mini-4k,Full Pipeline,B61L25-G06Q50,Cross-Industry,Intelligent Railway Operation,1,Exploratory-Brainstorming,True,17.9,8.7,1247.75,"Develop an integrated intelligent railway system leveraging AI, physiological sensors, and advanced computation to optimize operations and enhance passenger safety.",The need for research on scalable models of integrating IoT devices within urban transport networks.,non-LLM: NLI+CE+ST+QNLI,Nordbruch Stefan,Bosch GmbH,large_corp,AIZAWA TOMOYOSHI,OMRON CORP,large_corp
